Date,Number  of  Flights
2017-08-13  20:21:59,1448
2017-08-13  20:26:59,1447
2017-08-13  20:31:59,1455
2017-08-13  20:36:59,1459
2017-08-13  20:41:59,1460
2017-08-13  20:46:59,1460
2017-08-13  20:52:00,1462
2017-08-13  20:57:00,1463
2017-08-13  21:02:00,1463
2017-08-13  21:07:00,1467
2017-08-13  21:12:00,1467
2017-08-13  21:17:00,1472
2017-08-13  21:22:00,1477
2017-08-13  21:27:00,1477
2017-08-13  21:32:00,1480
2017-08-13  21:37:00,1480
2017-08-13  21:42:00,1482
2017-08-13  21:47:00,1482
2017-08-13  21:52:00,1483
2017-08-13  21:57:00,1484
2017-08-13  22:02:00,1487
2017-08-13  22:07:00,1492
2017-08-13  22:12:00,1494
2017-08-13  22:17:01,1499
2017-08-13  22:22:01,1498
2017-08-13  22:27:01,1498
2017-08-13  22:32:01,1500
2017-08-13  22:37:01,1502
2017-08-13  22:42:01,1502
2017-08-13  22:47:01,1506
2017-08-13  22:52:01,1509
2017-08-13  22:57:01,1510
2017-08-13  23:02:01,1515
2017-08-13  23:07:01,1516
2017-08-13  23:12:01,1517
2017-08-13  23:17:01,1520
2017-08-13  23:22:01,1521
2017-08-13  23:27:01,1521
2017-08-13  23:32:02,1522
2017-08-13  23:37:02,1529
2017-08-13  23:42:02,1532
2017-08-13  23:47:02,1533
2017-08-13  23:52:02,1535
2017-08-13  23:57:02,1535
2017-08-14  0:02:02,1538
2017-08-14  0:07:02,1539
2017-08-14  0:12:02,1538
2017-08-14  0:17:02,1541
2017-08-14  0:22:02,1547
2017-08-14  0:27:02,1549
2017-08-14  0:32:02,1548
2017-08-14  0:37:02,1553
2017-08-14  0:42:02,1553
2017-08-14  0:47:02,1557
2017-08-14  0:52:03,1557
2017-08-14  0:57:03,1557
2017-08-14  1:02:03,1556
2017-08-14  1:07:03,1561
2017-08-14  1:12:03,1564
2017-08-14  1:17:03,1566
2017-08-14  1:22:03,1572
2017-08-14  1:27:03,1571
2017-08-14  1:32:03,1574
2017-08-14  1:37:03,1575
2017-08-14  1:42:03,1574
2017-08-14  1:47:03,1575
2017-08-14  1:52:03,1578
2017-08-14  1:57:03,1584
2017-08-14  2:02:03,1583
2017-08-14  2:07:04,1587
2017-08-14  2:12:04,1590
2017-08-14  2:17:04,1589
2017-08-14  2:22:04,1593
2017-08-14  2:27:04,1593
2017-08-14  2:32:04,1592
2017-08-14  2:37:04,1595
2017-08-14  2:42:04,1602
2017-08-14  2:47:04,1602
2017-08-14  2:52:04,1603
2017-08-14  2:57:04,1606
2017-08-14  3:02:04,1607
2017-08-14  3:07:04,1611
2017-08-14  3:12:04,1610
2017-08-14  3:17:04,1611
2017-08-14  3:22:05,1611
2017-08-14  3:27:05,1619
2017-08-14  3:32:05,1618
2017-08-14  3:37:05,1621
2017-08-14  3:42:05,1623
2017-08-14  3:47:05,1626
2017-08-14  3:52:05,1628
2017-08-14  3:57:05,1630
2017-08-14  4:02:05,1628
2017-08-14  4:07:05,1629
2017-08-14  4:12:05,1633
2017-08-14  4:17:05,1638
2017-08-14  4:22:05,1639
2017-08-14  4:27:05,1641
2017-08-14  4:32:05,1642
2017-08-14  4:37:06,1645
2017-08-14  4:42:06,1646
2017-08-14  4:47:06,1648
2017-08-14  4:52:06,1648
2017-08-14  4:57:06,1648
2017-08-14  5:02:06,1655
2017-08-14  5:07:06,1656
2017-08-14  5:12:06,1659
2017-08-14  5:17:06,1661
2017-08-14  5:22:06,1662
2017-08-14  5:27:06,1665
2017-08-14  5:32:06,1663
2017-08-14  5:37:06,1664
2017-08-14  5:42:06,1668
2017-08-14  5:47:06,1674
2017-08-14  5:52:07,1674
2017-08-14  5:57:07,1674
2017-08-14  6:02:07,1677
2017-08-14  6:07:07,1678
2017-08-14  6:12:07,1683
2017-08-14  6:17:07,1684
2017-08-14  6:22:07,1684
2017-08-14  6:27:07,1685
2017-08-14  6:32:07,1687
2017-08-14  6:37:07,1689
2017-08-14  6:42:07,1692
2017-08-14  6:47:07,1695
2017-08-14  6:52:07,1695
2017-08-14  6:57:07,1699
