Timestamp,MTCD_CREATION_UPDATE_EVENT,MTCD_DELETE_EVENT
2017-08-12  00:21:49.222,0,0
2017-08-12  00:22:19.222,0,0
2017-08-12  00:22:49.222,0,0
2017-08-12  00:23:19.222,42,7
2017-08-12  00:23:49.223,0,0
2017-08-12  00:24:19.223,0,0
2017-08-12  00:24:49.223,0,0
2017-08-12  00:25:19.223,0,0
2017-08-12  00:25:49.224,0,0
2017-08-12  00:26:19.224,0,0
2017-08-12  00:26:49.224,0,0
2017-08-12  00:27:19.226,0,0
2017-08-12  00:27:49.224,0,0
2017-08-12  00:28:19.227,28,4
2017-08-12  00:28:49.224,0,0
2017-08-12  00:29:19.225,0,0
