Timestamp,UPDATE_CCDSR_ACCEPTATION_MESSAGE,UPDATE_CCDSR_REJECTION_MESSAGE,FP_UPDATE_SUBSCRIPTION_CLIENT_MESSAGES_EVENT,FP_END_OF_UPDATE_MESSAGES_EVENT
2017-08-13  06:17:26.780,15,1,12,4
2017-08-13  06:22:26.782,19,0,17,2
2017-08-13  06:27:26.783,17,0,13,4
2017-08-13  06:32:26.784,15,2,11,6
2017-08-13  06:37:26.786,24,0,21,3
2017-08-13  06:42:26.787,13,3,11,5
2017-08-13  06:47:26.791,18,1,15,4
2017-08-13  06:52:26.790,9,0,8,1
2017-08-13  06:57:26.792,12,0,12,0
2017-08-13  07:02:26.796,15,2,13,4
2017-08-13  07:07:26.795,17,2,15,4
2017-08-13  07:12:26.798,13,0,12,1
2017-08-13  07:17:26.800,16,2,13,5
2017-08-13  07:22:26.799,22,0,19,3
2017-08-13  07:27:26.803,18,3,13,8
2017-08-13  07:32:26.805,14,2,11,5
2017-08-13  07:37:26.804,15,0,14,1
2017-08-13  07:42:26.806,9,0,9,0
2017-08-13  07:47:26.807,19,0,16,3
2017-08-13  07:52:26.808,17,1,14,4
2017-08-13  07:57:26.810,11,0,10,1
2017-08-13  08:02:26.812,18,2,14,6
2017-08-13  08:07:26.815,20,0,19,1
2017-08-13  08:12:26.815,19,3,13,9
2017-08-13  08:17:26.818,14,1,13,2
2017-08-13  08:22:26.818,16,0,14,2
2017-08-13  08:27:26.821,8,0,7,1
2017-08-13  08:32:26.822,16,1,14,3
2017-08-13  08:37:26.824,14,4,14,4
2017-08-13  08:42:26.826,13,3,15,1
2017-08-13  08:47:26.827,17,2,15,4
2017-08-13  08:52:26.828,15,2,14,3
2017-08-13  08:57:26.828,22,0,17,5
2017-08-13  09:02:26.829,14,4,11,7
2017-08-13  09:07:26.833,17,1,15,3
2017-08-13  09:12:26.832,12,0,11,1
2017-08-13  09:17:26.833,11,0,10,1
2017-08-13  09:22:26.837,15,5,15,5
2017-08-13  09:27:26.837,12,7,16,3
