Timestamp,IFPL  Messages
2017-08-13  16:08:20.190,1883
2017-08-13  16:13:20.158,1895
2017-08-13  16:18:20.160,1900
2017-08-13  16:23:20.194,1915
2017-08-13  16:28:20.164,1922
2017-08-13  16:33:20.166,1934
2017-08-13  16:38:20.168,1942
2017-08-13  16:43:20.208,1954
2017-08-13  16:48:20.207,1965
2017-08-13  16:53:20.209,1975
2017-08-13  16:58:20.177,1985
2017-08-13  17:03:20.179,1994
2017-08-13  17:08:20.181,2006
2017-08-13  17:13:20.184,2015
2017-08-13  17:18:20.222,2024
2017-08-13  17:23:20.187,2032
2017-08-13  17:28:20.189,2043
2017-08-13  17:33:20.226,2054
2017-08-13  17:38:20.195,2064
2017-08-13  17:43:20.197,2077
2017-08-13  17:48:20.199,2086
2017-08-13  17:53:20.202,2096
2017-08-13  17:58:20.203,2107
2017-08-13  18:03:20.206,2115
2017-08-13  18:08:20.208,2123
2017-08-13  18:13:20.210,2135
2017-08-13  18:18:20.212,2145
2017-08-13  18:23:20.214,2155
2017-08-13  18:28:20.215,2166
2017-08-13  18:33:20.251,2174
2017-08-13  18:38:20.220,2186
2017-08-13  18:43:20.222,2192
2017-08-13  18:48:20.224,2204
2017-08-13  18:53:20.227,2212
2017-08-13  18:58:20.228,2223
2017-08-13  19:03:20.231,2233
2017-08-13  19:08:20.233,2242
2017-08-13  19:13:20.235,2255
2017-08-13  19:18:20.274,2260
2017-08-13  19:23:20.239,2271
2017-08-13  19:28:20.241,2281
2017-08-13  19:33:20.243,2292
2017-08-13  19:38:20.247,2301
2017-08-13  19:43:20.247,2314
2017-08-13  19:48:20.250,2319
2017-08-13  19:53:20.253,2329
2017-08-13  19:58:20.255,2343
2017-08-13  20:03:20.257,2349
2017-08-13  20:08:20.259,2358
2017-08-13  20:13:20.295,2370
2017-08-13  20:18:20.263,2380
2017-08-13  20:23:20.263,2387
2017-08-13  20:28:20.265,2398
2017-08-13  20:33:20.266,2409
2017-08-13  20:38:20.267,2419
2017-08-13  20:43:20.270,2429
2017-08-13  20:48:20.271,2439
2017-08-13  20:53:20.273,2446
2017-08-13  20:58:20.275,2457
2017-08-13  21:03:20.276,2468
2017-08-13  21:08:20.278,2477
2017-08-13  21:13:20.280,2486
2017-08-13  21:18:20.281,2497
2017-08-13  21:23:20.283,2506
2017-08-13  21:28:20.284,2516
2017-08-13  21:33:20.287,2530
2017-08-13  21:38:20.288,2534
2017-08-13  21:43:20.290,2546
2017-08-13  21:48:20.292,2554
2017-08-13  21:53:20.328,2564
2017-08-13  21:58:20.295,2574
2017-08-13  22:03:20.298,2586
2017-08-13  22:08:20.298,2592
2017-08-13  22:13:20.300,2603
2017-08-13  22:18:20.302,2617
2017-08-13  22:23:20.305,2622
2017-08-13  22:28:20.341,2633
2017-08-13  22:33:20.343,2643
2017-08-13  22:38:20.311,2653
2017-08-13  22:43:20.313,2663
2017-08-13  22:48:20.315,2672
2017-08-13  22:53:20.352,2681
2017-08-13  22:58:20.320,2691
2017-08-13  23:03:20.322,2705
2017-08-13  23:08:20.323,2711
2017-08-13  23:13:20.326,2720
2017-08-13  23:18:20.329,2732
2017-08-13  23:23:20.329,2741
2017-08-13  23:28:20.331,2748
2017-08-13  23:33:20.332,2758
2017-08-13  23:38:20.334,2770
2017-08-13  23:43:20.337,2781
2017-08-13  23:48:20.338,2789
2017-08-13  23:53:20.340,2800
2017-08-13  23:58:20.377,2806
2017-08-14  00:03:20.343,15
2017-08-14  00:08:20.345,21
2017-08-14  00:13:20.347,32
2017-08-14  00:18:20.348,41
2017-08-14  00:23:20.350,52
2017-08-14  00:28:20.352,62
2017-08-14  00:33:20.353,72
2017-08-14  00:38:20.356,84
2017-08-14  00:43:20.358,89
2017-08-14  00:48:20.360,101
2017-08-14  00:53:20.362,109
2017-08-14  00:58:20.400,119
2017-08-14  01:03:20.401,129
2017-08-14  01:08:20.368,141
2017-08-14  01:13:20.403,149
2017-08-14  01:18:20.374,157
2017-08-14  01:23:20.398,173
2017-08-14  01:28:20.377,178
2017-08-14  01:33:20.380,188
2017-08-14  01:38:20.382,199
2017-08-14  01:43:20.384,209
2017-08-14  01:48:20.385,214
2017-08-14  01:53:20.387,226
2017-08-14  01:58:20.390,236
2017-08-14  02:03:20.393,247
2017-08-14  02:08:20.394,259
2017-08-14  02:13:20.397,267
2017-08-14  02:18:20.399,274
2017-08-14  02:23:20.400,286
2017-08-14  02:28:20.437,295
2017-08-14  02:33:20.406,305
2017-08-14  02:38:20.408,313
2017-08-14  02:43:20.410,327
2017-08-14  02:48:20.447,336
2017-08-14  02:53:20.414,345
2017-08-14  02:58:20.415,356
2017-08-14  03:03:20.418,363
2017-08-14  03:08:20.419,376
2017-08-14  03:13:20.422,382
2017-08-14  03:18:20.456,392
2017-08-14  03:23:20.425,402
2017-08-14  03:28:20.427,413
2017-08-14  03:33:20.430,422
2017-08-14  03:38:20.431,433
2017-08-14  03:43:20.433,446
2017-08-14  03:48:20.436,451
2017-08-14  03:53:20.438,462
2017-08-14  03:58:20.441,470
2017-08-14  04:03:20.443,482
2017-08-14  04:08:20.445,489
2017-08-14  04:13:20.447,499
2017-08-14  04:18:20.449,509
2017-08-14  04:23:20.452,519
2017-08-14  04:28:20.454,532
2017-08-14  04:33:20.456,540
2017-08-14  04:38:20.492,549
2017-08-14  04:43:20.459,560
2017-08-14  04:48:20.496,569
2017-08-14  04:53:20.464,576
2017-08-14  04:58:20.466,585
2017-08-14  05:03:20.467,599
2017-08-14  05:08:20.469,609
2017-08-14  05:13:20.470,620
2017-08-14  05:18:20.472,628
2017-08-14  05:23:20.473,635
2017-08-14  05:28:20.476,648
2017-08-14  05:33:20.478,658
2017-08-14  05:38:20.481,666
2017-08-14  05:43:20.483,676
2017-08-14  05:48:20.486,687
2017-08-14  05:53:20.488,695
2017-08-14  05:58:20.489,703
2017-08-14  06:03:20.492,719
2017-08-14  06:08:20.526,723
2017-08-14  06:13:20.496,736
2017-08-14  06:18:20.497,744
2017-08-14  06:23:20.499,754
2017-08-14  06:28:20.501,763
2017-08-14  06:33:20.504,775
2017-08-14  06:38:20.506,780
2017-08-14  06:43:20.509,793
2017-08-14  06:48:20.511,807
2017-08-14  06:53:20.512,812
2017-08-14  06:58:20.547,822
2017-08-14  07:03:20.553,832
2017-08-14  07:08:20.519,842
2017-08-14  07:13:20.520,850
2017-08-14  07:18:20.554,861
2017-08-14  07:23:20.557,871
2017-08-14  07:28:20.526,881
2017-08-14  07:33:20.528,894
2017-08-14  07:38:20.529,901
2017-08-14  07:43:20.531,910
2017-08-14  07:48:20.532,921
2017-08-14  07:53:20.534,930
2017-08-14  07:58:20.537,938
2017-08-14  08:03:20.573,948
2017-08-14  08:08:20.540,960
2017-08-14  08:13:20.542,970
2017-08-14  08:18:20.544,979
2017-08-14  08:23:20.575,991
2017-08-14  08:28:20.547,996
2017-08-14  08:33:20.549,1010
2017-08-14  08:38:20.551,1017
2017-08-14  08:43:20.553,1028
2017-08-14  08:48:20.555,1037
2017-08-14  08:53:20.556,1048
2017-08-14  08:58:20.559,1055
2017-08-14  09:03:20.562,1067
2017-08-14  09:08:20.562,1079
2017-08-14  09:13:20.565,1085
2017-08-14  09:18:20.566,1095
2017-08-14  09:23:20.569,1105
2017-08-14  09:28:20.570,1115
2017-08-14  09:33:20.572,1125
2017-08-14  09:38:20.574,1137
2017-08-14  09:43:20.576,1145
2017-08-14  09:48:20.577,1154
2017-08-14  09:53:20.579,1167
2017-08-14  09:58:20.581,1173
2017-08-14  10:03:20.583,1182
